ID,Cidade,Bairro,Tipo,m2,Quartos,Banheiros,Vagas,Preço,Condomínio,IPTU,Latitude,Longitude
111,Juiz de Fora - MG,Progresso,SalÃ£o,0,3,2,0,"R$ 1.280,00","R$ 0,00","R$ 203,75",-21.730895,-43.3464281
112,Juiz de Fora - MG,Progresso,Apartamento,60,2,1,0,"R$ 650,00","R$ 350,00","R$ 90,60",-21.730895,-43.3464281
113,Juiz de Fora - MG,Progresso,Apartamento,45,1,1,0,"R$ 560,00","R$ 90,00","R$ 68,00",-21.730895,-43.3464281
114,Juiz de Fora - MG,São Mateus,Loja,132,0,1,0,"R$ 1.000,00","R$ 0,00","R$ 144,51",-21.7735943,-43.3546617
115,Juiz de Fora - MG,Paineiras,Apartamento,60,2,1,1,"R$ 900,00","R$ 115,00","R$ 0,00",-21.7657334,-43.3551152
116,Juiz de Fora - MG,São Mateus,Apartamento,65,2,1,1,"R$ 900,00","R$ 100,00","R$ 0,00",-21.7735943,-43.3546617
117,Juiz de Fora - MG,São Mateus,Apartamento,179,0,0,1,"R$ 5.500,00","R$ 0,00","R$ 0,00",-21.7735943,-43.3546617
118,Juiz de Fora - MG,Centro,PrÃ©dio,82,2,2,1,"R$ 1.050,00","R$ 157,84","R$ 144,97",-21.759859,-43.3467271
119,Juiz de Fora - MG,Centro,Sala,43,1,1,1,"R$ 1.500,00","R$ 298,77","R$ 0,00",-21.759859,-43.3467271
120,Juiz de Fora - MG,Centro,Apartamento,43,1,1,1,"R$ 1.500,00","R$ 298,77","R$ 0,00",-21.759859,-43.3467271
121,Juiz de Fora - MG,Centro,Sala,800,0,0,0,"R$ 25.000,00","R$ 0,00","R$ 1.500,00",-21.759859,-43.3467271
122,Juiz de Fora - MG,São Mateus,Apartamento,55,0,0,0,"R$ 1.500,00","R$ 160,00","R$ 200,00",-21.7735943,-43.3546617
123,Juiz de Fora - MG,Santa Helena,Apartamento,50,1,1,0,"R$ 485,00","R$ 400,00","R$ 115,00",-21.7575053,-43.3561412
124,Juiz de Fora - MG,Cascatinha,Apartamento,50,0,1,0,"R$ 1.000,00","R$ 120,00","R$ 0,00",-21.783859,-43.3630935
125,Juiz de Fora - MG,Progresso,Apartamento,40,2,1,0,"R$ 1.000,00","R$ 152,00","R$ 98,89",-21.730895,-43.3464281
126,Juiz de Fora - MG,Progresso,Apartamento,50,1,1,1,"R$ 750,00","R$ 230,00","R$ 80,00",-21.730895,-43.3464281
127,Juiz de Fora - MG,Progresso,Apartamento,50,2,1,1,"R$ 800,00","R$ 170,00","R$ 80,00",-21.730895,-43.3464281
128,Juiz de Fora - MG,Cascatinha,Apartamento,1,2,1,0,"R$ 600,00","R$ 100,00","R$ 82,13",-21.783859,-43.3630935
129,Juiz de Fora - MG,Parque Jardim da Serra,Casa,60,2,1,0,"R$ 600,00","R$ 85,00","R$ 81,66",-21.79245575,-43.36744564
130,Juiz de Fora - MG,Granbery,Casa,60,2,1,0,"R$ 600,00","R$ 85,00","R$ 81,50",-21.7675479,-43.3437945
131,Juiz de Fora - MG,Santa Catarina,Apartamento,70,3,2,1,"R$ 800,00","R$ 200,00","R$ 128,00",-21.7508782,-43.3592871
132,Juiz de Fora - MG,Jardim do Sol,Apartamento,300,3,0,10,"R$ 3.700,00","R$ 256,00","R$ 179,00",-21.7610522,-43.3273824
133,Juiz de Fora - MG,São Pedro,Studio,155,5,3,3,"R$ 3.900,00","R$ 0,00","R$ 262,83",-21.7708213,-43.3879244
134,Juiz de Fora - MG,Centro,Studio,70,2,1,1,"R$ 800,00","R$ 150,00","R$ 140,00",-21.759859,-43.3467271
135,Juiz de Fora - MG,Centro,Apartamento,70,2,1,0,"R$ 650,00","R$ 155,00","R$ 60,45",-21.759859,-43.3467271
136,Juiz de Fora - MG,Bairu,Apartamento,29,1,1,0,"R$ 1.000,00","R$ 270,00","R$ 0,00",-21.7375744,-43.3506203
137,Juiz de Fora - MG,Bairu,Apartamento,42,1,1,0,"R$ 780,00","R$ 409,00","R$ 50,00",-21.7375744,-43.3506203
138,Juiz de Fora - MG,Jardim Glória,Apartamento,0,1,1,0,"R$ 600,00","R$ 325,00","R$ 104,21",-21.7530822,-43.3579528
139,Juiz de Fora - MG,Bom Pastor,Apartamento,90,3,2,1,"R$ 1.200,00","R$ 190,00","R$ 180,00",-21.7768003,-43.3433149
140,Juiz de Fora - MG,Centro,Loja,90,3,2,2,"R$ 1.300,00","R$ 200,00","R$ 153,00",-21.759859,-43.3467271
141,Juiz de Fora - MG,Centro,Loja,100,3,3,1,"R$ 1.300,00","R$ 410,00","R$ 130,00",-21.759859,-43.3467271
142,Juiz de Fora - MG,Linhares,Apartamento,210,4,1,2,"R$ 2.200,00","R$ 1.200,00","R$ 293,01",-21.7352454,-43.325848
143,Juiz de Fora - MG,Ladeira,GalpÃ£o,150,0,0,0,"R$ 1.500,00","R$ 120,00","R$ 120,00",-21.7417103,-43.4024649
144,Juiz de Fora - MG,Santos Dumont,Loja,30,0,0,0,"R$ 1.100,00","R$ 0,00","R$ 42,20",-21.7809405,-43.3866819
145,Juiz de Fora - MG,Mariano Procopio,Apartamento,30,0,1,0,"R$ 1.100,00","R$ 0,00","R$ 30,25",-21.7461726,-43.3556644
146,Juiz de Fora - MG,Centro,Loja,0,0,0,0,"R$ 1.100,00","R$ 1.000,00","R$ 70,00",-21.759859,-43.3467271
147,Juiz de Fora - MG,Centro,Apartamento,0,2,0,0,"R$ 600,00","R$ 150,00","R$ 0,00",-21.759859,-43.3467271
148,Juiz de Fora - MG,Estrela Sul,Apartamento,217,0,1,0,"R$ 3.400,00","R$ 0,00","R$ 230,00",-21.7853626,-43.3546328
149,Juiz de Fora - MG,São Pedro,Apartamento,76,0,1,0,"R$ 1.800,00","R$ 0,00","R$ 173,45",-21.7708213,-43.3879244
150,Juiz de Fora - MG,Cascatinha,Apartamento,72,2,1,0,"R$ 963,00","R$ 0,00","R$ 0,00",-21.783859,-43.3630935
151,Juiz de Fora - MG,Parque Jardim da Serra,Casa,100,0,2,3,"R$ 4.490,00","R$ 0,00","R$ 420,00",-21.79245575,-43.36744564
152,Juiz de Fora - MG,Centro,Apartamento,56,2,1,1,"R$ 1.200,00","R$ 340,00","R$ 130,00",-21.759859,-43.3467271
153,Juiz de Fora - MG,Centro,Loja,70,1,1,1,"R$ 890,00","R$ 280,00","R$ 129,00",-21.759859,-43.3467271
154,Juiz de Fora - MG,Democrata,Apartamento,42,1,1,1,"R$ 1.600,00","R$ 412,17","R$ 0,00",-21.7496425,-43.3686212
155,Juiz de Fora - MG,Jardim Glória,Apartamento,85,2,1,1,"R$ 1.700,00","R$ 200,00","R$ 141,00",-21.7530822,-43.3579528
156,Juiz de Fora - MG,Teixeiras,Apartamento,320,4,7,3,"R$ 4.500,00","R$ 300,00","R$ 0,00",-21.7908663,-43.3623365
157,Juiz de Fora - MG,Mundo Novo,Cobertura,40,1,1,0,"R$ 850,00","R$ 320,00","R$ 86,00",-21.7783002,-43.351185
158,Juiz de Fora - MG,Granbery,Apartamento,34,0,0,0,"R$ 200,00","R$ 958,68","R$ 49,12",-21.7675479,-43.3437945
159,Juiz de Fora - MG,Centro,Apartamento,88,2,2,1,"R$ 800,00","R$ 60,00","R$ 70,82",-21.759859,-43.3467271
160,Juiz de Fora - MG,São Mateus,Loja,46,1,1,1,"R$ 900,00","R$ 160,00","R$ 79,92",-21.7735943,-43.3546617
161,Juiz de Fora - MG,São Mateus,Apartamento,40,1,1,0,"R$ 650,00","R$ 150,00","R$ 0,00",-21.7735943,-43.3546617
162,Juiz de Fora - MG,São Mateus,Apartamento,108,3,2,1,"R$ 1.500,00","R$ 0,00","R$ 66,00",-21.7735943,-43.3546617
163,Juiz de Fora - MG,São Mateus,Apartamento,107,2,2,1,"R$ 600,00","R$ 260,00","R$ 157,65",-21.7735943,-43.3546617
164,Juiz de Fora - MG,Centro,Apartamento,105,3,2,1,"R$ 1.300,00","R$ 367,00","R$ 182,00",-21.759859,-43.3467271
165,Juiz de Fora - MG,Vila Ozanan,Apartamento,60,0,1,0,"R$ 2.500,00","R$ 0,00","R$ 160,00",-21.7725414,-43.3360635
166,Juiz de Fora - MG,Cascatinha,Apartamento,43,1,1,1,"R$ 1.750,00","R$ 287,00","R$ 0,00",-21.783859,-43.3630935
167,Juiz de Fora - MG,Granbery,Casa,43,1,1,1,"R$ 1.500,00","R$ 275,00","R$ 0,00",-21.7675479,-43.3437945
168,Juiz de Fora - MG,Manoel Honorio,Casa,43,1,1,1,"R$ 1.750,00","R$ 287,00","R$ 0,00",-21.7435044,-43.3537058
169,Juiz de Fora - MG,Centro,Apartamento,35,1,1,0,"R$ 600,00","R$ 340,00","R$ 150,00",-21.759859,-43.3467271
170,Juiz de Fora - MG,Santos Dumont,Apartamento,70,2,1,1,"R$ 950,00","R$ 205,00","R$ 76,52",-21.7809405,-43.3866819
171,Juiz de Fora - MG,Cascatinha,Apartamento,52,2,1,0,"R$ 700,00","R$ 150,00","R$ 95,81",-21.783859,-43.3630935
172,Juiz de Fora - MG,São Mateus,Kitnet,396,5,4,3,"R$ 5.000,00","R$ 120,00","R$ 310,00",-21.7735943,-43.3546617
173,Juiz de Fora - MG,Centro,Cobertura,98,3,1,6,"R$ 3.200,00","R$ 0,00","R$ 378,54",-21.759859,-43.3467271
174,Juiz de Fora - MG,Nova Era,GalpÃ£o,75,2,2,2,"R$ 1.200,00","R$ 409,00","R$ 186,26",-21.7084989,-43.4211379
175,Juiz de Fora - MG,Santa Isabel,Apartamento,50,2,1,0,"R$ 680,00","R$ 200,00","R$ 55,00",-21.7136402,-43.4251533
176,Juiz de Fora - MG,São Mateus,Apartamento,57,1,1,1,"R$ 680,00","R$ 140,00","R$ 86,90",-21.7735943,-43.3546617
177,Juiz de Fora - MG,Cascatinha,Apartamento,37,1,1,0,"R$ 600,00","R$ 268,00","R$ 66,37",-21.783859,-43.3630935
178,Juiz de Fora - MG,Alto dos Passos,Apartamento,81,2,1,2,"R$ 1.400,00","R$ 200,00","R$ 70,00",-21.7762548,-43.3474599
179,Juiz de Fora - MG,Centro,Kitnet,248,4,4,2,"R$ 3.000,00","R$ 770,00","R$ 362,77",-21.759859,-43.3467271
180,Juiz de Fora - MG,Estrela Sul,Casa,480,0,3,0,"R$ 6.500,00","R$ 0,00","R$ 330,00",-21.7853626,-43.3546328
181,Juiz de Fora - MG,Estrela Sul,Casa,50,2,1,1,"R$ 500,00","R$ 185,00","R$ 33,83",-21.7853626,-43.3546328
182,Juiz de Fora - MG,Centro,Studio,40,2,1,0,"R$ 1.000,00","R$ 170,00","R$ 85,61",-21.759859,-43.3467271
183,Juiz de Fora - MG,Centro,Sala,90,3,2,1,"R$ 1.500,00","R$ 257,18","R$ 145,52",-21.759859,-43.3467271
184,Juiz de Fora - MG,Centro,Studio,86,2,2,1,"R$ 1.550,00","R$ 536,00","R$ 161,62",-21.759859,-43.3467271
185,Juiz de Fora - MG,Santa Luzia,Apartamento,29,1,1,0,"R$ 520,00","R$ 280,00","R$ 63,00",-21.7868628,-43.3447472
186,Juiz de Fora - MG,Fontesville ll,Casa,79,2,2,0,"R$ 650,00","R$ 40,00","R$ 75,00",-21.7369233,-43.4102621
187,Juiz de Fora - MG,São Mateus,Apartamento,79,2,2,1,"R$ 700,00","R$ 40,00","R$ 75,00",-21.7735943,-43.3546617
